,longitude,variable,value
393,-913.557,lnwpred_longq,4.758101542
394,-914.281,lnwpred_longq,4.76496705
395,-912.567,lnwpred_longq,4.738114635
396,-913.67,lnwpred_longq,4.759604351
397,-915.21,lnwpred_longq,4.764184566
398,-913.844,lnwpred_longq,4.761606487
399,-914.952,lnwpred_longq,4.765483212
400,-912.557,lnwpred_longq,4.737850285
401,-910.317,lnwpred_longq,4.647154775
402,-913.683,lnwpred_longq,4.75976701
403,-919.21,lnwpred_longq,4.63766461
404,-915.165,lnwpred_longq,4.764470945
405,-914.378,lnwpred_longq,4.765389444
406,-912.91,lnwpred_longq,4.746425563
407,-913.471,lnwpred_longq,4.756850913
408,-914.211,lnwpred_longq,4.76458921
409,-912.617,lnwpred_longq,4.739417648
410,-914.39,lnwpred_longq,4.765433529
411,-914.686,lnwpred_longq,4.7659515
412,-914.227,lnwpred_longq,4.76468097
413,-913.553,lnwpred_longq,4.758045422
414,-915.047,lnwpred_longq,4.765101752
415,-910.064,lnwpred_longq,4.632971359
416,-914.821,lnwpred_longq,4.7658243
417,-914.716,lnwpred_longq,4.765942909
418,-914.7,lnwpred_longq,4.76594889
419,-913.287,lnwpred_longq,4.753864836
420,-913.337,lnwpred_longq,4.75471812
421,-914.778,lnwpred_longq,4.765889526
422,-914.887,lnwpred_longq,4.765679251
423,-914.379,lnwpred_longq,4.765393187
424,-913.72,lnwpred_longq,4.760218404
425,-913.72,lnwpred_longq,4.760218404
426,-913.347,lnwpred_longq,4.754885029
427,-914.353,lnwpred_longq,4.765291823
428,-914.217,lnwpred_longq,4.764623995
429,-913.5,lnwpred_longq,4.757282962
430,-913.894,lnwpred_longq,4.762111855
431,-914.5316,lnwpred_longq,4.765817877
432,-913.464,lnwpred_longq,4.756745052
433,-914.051,lnwpred_longq,4.763495716
434,-912.69,lnwpred_longq,4.741263962
435,-916.217,lnwpred_longq,4.751159021
436,-915.161,lnwpred_longq,4.764495176
437,-914.58,lnwpred_longq,4.76589181
438,-913.608,lnwpred_longq,4.758799552
439,-913.081,lnwpred_longq,4.750019905
440,-914.196,lnwpred_longq,4.764500281
441,-914.567,lnwpred_longq,4.765874826
442,-913.623,lnwpred_longq,4.758998665
443,-913.0743214,lnwpred_longq,4.74988638
444,-915.494,lnwpred_longq,4.761793579
445,-914.621,lnwpred_longq,4.765931544
446,-913.873,lnwpred_longq,4.761903405
447,-913.505,lnwpred_longq,4.757356391
448,-917.6780545,lnwpred_longq,4.709736586
449,-913.485,lnwpred_longq,4.7570608
